Sample	Pop
Busan_10	Busan
Busan_11	Busan
Busan_12	Busan
Busan_13	Busan
Busan_14	Busan
Busan_15	Busan
Busan_16	Busan
Busan_5	Busan
Busan_8	Busan
EL10	East_London
EL12	East_London
EL13	East_London
EL14	East_London
EL15	East_London
EL17	East_London
EL18	East_London
EL19	East_London
EL2	East_London
EL3	East_London
EL4	East_London
EL5	East_London
EL6	East_London
EL7	East_London
EL8	East_London
EL9	East_London
Fukuoka_1	Fukuoka
Fukuoka_10	Fukuoka
Fukuoka_11	Fukuoka
Fukuoka_12	Fukuoka
Fukuoka_17	Fukuoka
Fukuoka_2	Fukuoka
Fukuoka_3	Fukuoka
Fukuoka_4	Fukuoka
Fukuoka_40	Fukuoka
Fukuoka_45	Fukuoka
Fukuoka_47	Fukuoka
Fukuoka_5	Fukuoka
Fukuoka_7	Fukuoka
Fukuoka_8	Fukuoka
Fukuoka_9	Fukuoka
HB1	Hout_Bay
HB10	Hout_Bay
HB12	Hout_Bay
HB13	Hout_Bay
HB14	Hout_Bay
HB15	Hout_Bay
HB16	Hout_Bay
HB2	Hout_Bay
HB3	Hout_Bay
HB4	Hout_Bay
HB5	Hout_Bay
HB6	Hout_Bay
HB7	Hout_Bay
HB8	Hout_Bay
HB9	Hout_Bay
KA1	Knysna
KA12	Knysna
KA15	Knysna
KA17	Knysna
KA18	Knysna
KA19	Knysna
KA2	Knysna
KA20	Knysna
KA21	Knysna
KA22	Knysna
KA23	Knysna
KA3	Knysna
KA4	Knysna
KA7	Knysna
KA9	Knysna
MEL1	Melbourne
MEL10	Melbourne
MEL11	Melbourne
MEL13	Melbourne
MEL14	Melbourne
MEL15	Melbourne
MEL16	Melbourne
MEL17	Melbourne
MEL2	Melbourne
MEL3	Melbourne
MEL4	Melbourne
MEL6	Melbourne
MEL7	Melbourne
MEL8	Melbourne
MEL9	Melbourne
NEL1	Nelson
NEL10	Nelson
NEL11	Nelson
NEL12	Nelson
NEL13	Nelson
NEL14	Nelson
NEL15	Nelson
NEL16	Nelson
NEL17	Nelson
NEL2	Nelson
NEL3	Nelson
NEL4	Nelson
NEL5	Nelson
NEL6	Nelson
NEL7	Nelson
NEL8	Nelson
NEL9	Nelson
PE1	Port_Elizabeth
PE10	Port_Elizabeth
PE11	Port_Elizabeth
PE12	Port_Elizabeth
PE13	Port_Elizabeth
PE14	Port_Elizabeth
PE15	Port_Elizabeth
PE16	Port_Elizabeth
PE2	Port_Elizabeth
PE3	Port_Elizabeth
PE4	Port_Elizabeth
PE5	Port_Elizabeth
PE6	Port_Elizabeth
PE7	Port_Elizabeth
PE8	Port_Elizabeth
PE9	Port_Elizabeth
PLY1	Plymouth
PLY10	Plymouth
PLY11	Plymouth
PLY12	Plymouth
PLY13	Plymouth
PLY14	Plymouth
PLY17	Plymouth
PLY2	Plymouth
PLY3	Plymouth
PLY4	Plymouth
PLY5	Plymouth
PLY6	Plymouth
PLY7	Plymouth
PLY8	Plymouth
PLY9	Plymouth
Pohang_1	Pohang
Pohang_10	Pohang
Pohang_11	Pohang
Pohang_12	Pohang
Pohang_13	Pohang
Pohang_14	Pohang
Pohang_15	Pohang
Pohang_16	Pohang
Pohang_2	Pohang
Pohang_3	Pohang
Pohang_4	Pohang
Pohang_5	Pohang
Pohang_6	Pohang
Pohang_7	Pohang
Pohang_8	Pohang
Pohang_9	Pohang
Ravenna_13	Ravenna
Ravenna_2	Ravenna
Ravenna_4	Ravenna
Ravenna_6	Ravenna
Ravenna_7	Ravenna
Ravenna_8	Ravenna
SB1	Saldanha_Bay
SB10	Saldanha_Bay
SB11	Saldanha_Bay
SB12	Saldanha_Bay
SB2	Saldanha_Bay
SB3	Saldanha_Bay
SB4	Saldanha_Bay
SB5	Saldanha_Bay
SB6	Saldanha_Bay
SB7	Saldanha_Bay
SB8	Saldanha_Bay
SB9	Saldanha_Bay
TB10	Table_Bay
TB11	Table_Bay
TB12	Table_Bay
TB15	Table_Bay
TB16	Table_Bay
TB17	Table_Bay
TB18	Table_Bay
TB19	Table_Bay
TB20	Table_Bay
TB21	Table_Bay
TB3	Table_Bay
TB5	Table_Bay
TB6	Table_Bay
TB7	Table_Bay
TB8	Table_Bay
TB9	Table_Bay
Tongyeong_10	Tongyeong
Tongyeong_12	Tongyeong
Tongyeong_13	Tongyeong
Tongyeong_2	Tongyeong
Tongyeong_4	Tongyeong
Tongyeong_5	Tongyeong
Tongyeong_6	Tongyeong
