Sample	Pop
AL10	Albany
AL11	Albany
AL13	Albany
AL15	Albany
AL16	Albany
AL4	Albany
AL5	Albany
AL8	Albany
AR26	Arenys_de_Mar
AR28	Arenys_de_Mar
AR29	Arenys_de_Mar
AR31	Arenys_de_Mar
AR32	Arenys_de_Mar
AR34	Arenys_de_Mar
AR37	Arenys_de_Mar
AR40	Arenys_de_Mar
AR42	Arenys_de_Mar
AR44	Arenys_de_Mar
AR45	Arenys_de_Mar
AR46	Arenys_de_Mar
AR48	Arenys_de_Mar
AR51	Arenys_de_Mar
AR52	Arenys_de_Mar
Al21	Albany
Al22	Albany
Al23	Albany
Al24	Albany
Al25	Albany
Al26	Albany
Al28	Albany
Az1	Azores
Az10	Azores
Az11	Azores
Az12	Azores
Az13	Azores
Az14	Azores
Az15	Azores
Az17	Azores
Az18	Azores
Az19	Azores
Az21	Azores
Az22	Azores
Az23	Azores
Az4	Azores
Az40	Azores
Az41	Azores
Az5	Azores
Az6	Azores
Az7	Azores
Az8	Azores
BF11	Bahia_Falsa
BF12	Bahia_Falsa
BF21	Bahia_Falsa
BF22	Bahia_Falsa
BF24	Bahia_Falsa
BF25	Bahia_Falsa
BF26	Bahia_Falsa
BF27	Bahia_Falsa
BF28	Bahia_Falsa
BF29	Bahia_Falsa
BF30	Bahia_Falsa
BF31	Bahia_Falsa
BF32	Bahia_Falsa
BF33	Bahia_Falsa
BF36	Bahia_Falsa
BF37	Bahia_Falsa
BF39	Bahia_Falsa
BF7	Bahia_Falsa
BU1	Bunbury
BU11	Bunbury
BU12	Bunbury
BU2	Bunbury
BU21	Bunbury
BU23	Bunbury
BU24	Bunbury
BU29	Bunbury
BU4	Bunbury
BU45	Bunbury
BU47	Bunbury
BU5	Bunbury
BU6	Bunbury
BU61	Bunbury
BU8	Bunbury
BU9	Bunbury
CA1	Cascais
CA11	Cascais
CA13	Cascais
CA16	Cascais
CA18	Cascais
CA2	Cascais
CA28	Cascais
CA31	Cascais
CA32	Cascais
CAD11	Cadiz
CAD14	Cadiz
CAD15	Cadiz
CAD22	Cadiz
CAD23	Cadiz
CAD32	Cadiz
CAD35	Cadiz
CAD36	Cadiz
CAD49	Cadiz
CAD5	Cadiz
CAD6	Cadiz
CAD7	Cadiz
CAD9	Cadiz
CHI10	Chiclana
CHI12	Chiclana
CHI13	Chiclana
CHI16	Chiclana
CHI17	Chiclana
CHI19	Chiclana
CHI20	Chiclana
CHI21	Chiclana
CHI24	Chiclana
CHI28	Chiclana
CHI32	Chiclana
CHI33	Chiclana
CHI35	Chiclana
CHI37	Chiclana
CHI40	Chiclana
CHI41	Chiclana
CU11	Cubelles
CU25	Cubelles
CU26	Cubelles
CU27	Cubelles
CU31	Cubelles
CU32	Cubelles
CU33	Cubelles
CU38	Cubelles
CU39	Cubelles
CU40	Cubelles
CU42	Cubelles
CU43	Cubelles
CU44	Cubelles
CU46	Cubelles
CU47	Cubelles
EL1	East_london
EL10	East_london
EL11	East_london
EL12	East_london
EL13	East_london
EL15	East_london
EL16	East_london
EL17	East_london
EL2	East_london
EL3	East_london
EL4	East_london
EL5	East_london
EL6	East_london
EL8	East_london
EL9	East_london
K1	Knysna
K12	Knysna
K13	Knysna
K15	Knysna
K16	Knysna
K4	Knysna
K7	Knysna
MAN12	Manly
MAN13	Manly
MAN15	Manly
MAN2	Manly
MAN21	Manly
MAN23	Manly
MAN24	Manly
MAN25	Manly
MAN26	Manly
MAN3	Manly
MAN36	Manly
MAN4	Manly
MAN41	Manly
MAN7	Manly
MAT25	Mataro
MAT27	Mataro
MAT29	Mataro
MAT32	Mataro
MAT33	Mataro
MAT36	Mataro
MAT37	Mataro
MAT38	Mataro
MAT39	Mataro
MAT43	Mataro
MAT45	Mataro
MAT46	Mataro
MAT47	Mataro
MAT49	Mataro
MAT50	Mataro
MB1	Mossel_bay
MB11	Mossel_bay
MB13	Mossel_bay
MB14	Mossel_bay
